Number,ID,Type,Substrate Temp,Surface Temp,Ambient Temp,Canopy Closure,Rock Cover,Leaf Cover,Veg Cover,Fallen Log Cover,WSH,Cover Height,Dist. To Cover,Log Diameter,Dist. To Water,Depth,%Land,%Water,%Woody debris,%Floating Veg,%Bare soil,Group,SVL,TL,MASS,UTM_mE,UTM_mN,Dates,Time 
208,x,GENERAL,23,23,26,86,20,40,0,0,0,2.7,0,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,492245,4016016,8/12/2012,10:00:00
209,x,GENERAL,23.5,23.5,25,73,50,50,0,0,0,3.6,6,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,491155,4016549,8/12/2012,11:20:00
210,x,GENERAL,27,27,30.5,94,0,10,0,0,0,30.7,0,0,1000,0,100,0,100,0,0,HABITAT,0,0,0,490786,4016782,8/12/2012,11:53:00
211,x,GENERAL,25.5,25.5,28,89,0,0,0,0,0,33,0,0,111,0,100,0,0,0,0,HABITAT,0,0,0,491821,4016178,6/18/2012,13:10:00
212,x,GENERAL,27,27,28.5,50,60,0,10,30,0,15.5,0,24,390,0,100,0,0,0,0,HABITAT,0,0,0,491262,4016504,8/15/2012,12:24:00
213,x,GENERAL,25,25,26,90,0,0,40,0,600,43,0,0,0,2,40,60,0,0,0,HABITAT,0,0,0,491257,4016503,7/20/2012,10:50:00
214,x,GENERAL,27,27,28.5,50,60,0,10,30,0,15.5,0,24,390,0,100,0,0,0,0,HABITAT,0,0,0,491258,4016491,6/7/2012,12:19:00
215,x,GENERAL,27,27,28.5,50,60,0,10,30,0,15.5,0,24,390,0,100,0,0,0,0,HABITAT,0,0,0,491258,4016491,6/7/2012,12:19:00
216,x,GENERAL,27,27,28.5,50,60,0,10,30,0,15.5,0,24,390,0,100,0,0,0,0,HABITAT,0,0,0,491258,4016491,6/7/2012,12:19:00
217,x,GENERAL,26,26,28,94,90,0,5,5,0,32,0,34,0,1,95,5,5,0,0,HABITAT,0,0,0,491345,4016530,8/3/2012,12:49:00
218,x,GENERAL,23,25.5,24.5,10,0,0,0,0,0,39,0,39,0,79,0,100,0,100,0,HABITAT,0,0,0,491333,4016232,8/17/2012,13:58:00
219,x,GENERAL,27,27,27,87,20,80,0,0,97,3,0,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,492431,4015914,8/3/2012,10:40:00
220,x,GENERAL,24,24,24,89,35,25,0,0,0,2,0,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,492493,4015884,8/3/2012,10:18:00
221,x,GENERAL,25,25,26,77,0,100,0,0,0,3.5,50,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,492452,4015913,8/3/2012,10:30:00
222,x,GENERAL,23,23,22,84,10,90,0,0,0,2,0,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,491155,4016549,8/12/2012,11:05:00
223,x,GENERAL,23,23,29,76,0,0,40,30,3.5,36.5,0,40.2,0,4,70,30,30,0,0,HABITAT,0,0,0,491082,4016125,7/20/2012,9:50:00
224,x,GENERAL,22,22,24,75,0,0,0,0,0,20,310,0,0,39,0,100,7,0,0,HABITAT,0,0,0,491721,4016031,5/1/2013,17:35:00
225,x,GENERAL,17,17,21,95,0,0,0,0,700,18,10,0,0,51,0,100,0,0,0,HABITAT,0,0,0,491287,4016218,5/7/2013,14:00:00
226,x,GENERAL,24,24,28,22,0,0,0,0,0,22,295,17,0,47,0,100,0,0,0,HABITAT,0,0,0,491719,4016052,5/16/2013,17:20:00
227,x,GENERAL,23,23,25,53,0,0,0,0,350,5,154,20,0,38,0,100,0,5,0,HABITAT,0,0,0,491780,4016060,5/16/2013,17:40:00
228,x,GENERAL,23,24,23,74,0,0,0,0,0,28,0,0,0,62,0,50,50,0,0,HABITAT,0,0,0,491835,4016062,5/16/2013,18:05:00
229,x,GENERAL,25.5,25.5,27,98,0,0,90,0,800,12,86,0,550,0,100,0,0,0,5,HABITAT,0,0,0,491121,4016390,5/20/2013,11:55:00
230,x,GENERAL,25,25,27,96,0,60,40,0,1000,0,1000,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,491158,4016426,5/20/2013,12:15:00
231,x,GENERAL,18,19,19,93.5,0,80,20,0,1000,60,700,60,560,0,100,0,0,0,0,HABITAT,0,0,0,491638,4016308,5/16/2013,20:00:00
232,x,GENERAL,20,20.5,20,97,30,40,30,0,200,8,244,8,1000,0,100,0,0,0,0,HABITAT,0,0,0,491630,4016328,5/16/2013,20:10:00
233,x,GENERAL,19.5,21.5,22,94,0,10,80,0,1000,0,1000,0,1000,0,100,0,0,0,10,HABITAT,0,0,0,491070,4016234,5/22/2013,15:40:00
234,x,GENERAL,26.5,26.5,25.5,0,0,0,0,0,0,0,1000,0,0,31,0,100,0,0,0,HABITAT,0,0,0,490889,4016482,5/22/2013,17:04:00
235,x,GENERAL,26.5,26.5,25.5,0,0,0,0,0,0,0,1000,0,0,51,0,100,0,0,0,HABITAT,0,0,0,490889,4016526,5/22/2013,17:10:00
236,x,GENERAL,28,28,28,2,0,0,0,0,0,0,1000,0,0,39,0,100,0,0,0,HABITAT,0,0,0,490934,4016560,5/22/2013,17:20:00
237,x,GENERAL,20,22,25,96,0,20,15,20,600,18,0,13,190,0,100,0,10,0,0,HABITAT,0,0,0,490963,4016644,5/22/2013,17:30:00
238,x,GENERAL,19,21,23.5,98,0,90,10,0,1000,20,410,6,780,10,100,0,0,0,0,HABITAT,0,0,0,491253,4016579,5/22/2013,17:45:00
239,x,GENERAL,19,21,25,92.5,0,40,60,0,0,0,1000,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,491303,4016598,5/22/2013,17:55:00
240,x,GENERAL,20,21,24.5,95,0,60,30,10,300,41,40,43,1000,0,100,0,0,0,0,HABITAT,0,0,0,491359,4016485,5/22/2013,18:10:00
241,x,GENERAL,23,23,24.5,34,0,0,0,0,200,0,1000,0,0,31,0,100,0,0,0,HABITAT,0,0,0,491296,4016143,5/22/2013,18:38:00
242,x,GENERAL,21.5,25,25,91,0,0,5,0,900,17,103,19,760,0,100,0,0,0,90,HABITAT,0,0,0,492080,4016167,6/26/2013,18:44:00
243,x,GENERAL,23.5,27,27.5,91,0,0,5,0,200,49,103,18,0,4,50,50,0,0,45,HABITAT,0,0,0,490967,4016442,6/26/2013,19:20:00
244,x,GENERAL,19,20,23,97,0,90,0,0,1000,12,420,8,320,3,100,0,10,0,0,HABITAT,0,0,0,491286,4016067,5/22/2013,19:39:00
245,x,GENERAL,24,26,28,0,0,0,0,0,609.6,45,190,0,0,32,0,100,2,60,0,HABITAT,0,0,0,491108,4016277,5/18/2019,x
246,x,GENERAL,21,24,25,97.12,0,0,20,5,1584.96,12.5,110,3.5,0,8,5,95,5,7,5,HABITAT,0,0,0,491119,4016311,5/18/2019,x
247,x,GENERAL,28,33,31,77.12,100,5,0,0,19,16,200,0,0,6,60,40,2,0,0,HABITAT,0,0,0,491247,4016488,5/18/2019,x
248,x,GENERAL,31,39,32,40.72,0,0,10,10,457.2,19,98,24,0,6,95,5,60,60,10,HABITAT,0,0,0,491224,4016278,5/18/2019,x
249,x,GENERAL,26,26,28,68.8,0,0,10,0,853.44,20,75,0,480,9,100,0,5,0,100,HABITAT,0,0,0,491205,4016286,6/1/2019,x
250,x,GENERAL,24,23,27,96.8,0,0,5,0,457.2,22,95,0,0,22,4,96,0,96,0,HABITAT,0,0,0,491114,4016245,6/1/2019,x
251,x,GENERAL,25,25,28,78.16,0,10,100,0,304.8,35,490,0,550,7,100,0,0,0,0,HABITAT,0,0,0,491170,4016321,6/1/2019,x
252,x,GENERAL,24,32,35,19.76,0,0,100,0,274.32,55,130,0,1000,30,100,0,90,0,0,HABITAT,0,0,0,491388,4016120,6/15/2019,x
253,x,GENERAL,24.5,25,27.5,81.28,0,0,55,0,640.08,95,50,0,0,12,0,100,0,75,0,HABITAT,0,0,0,491058,4016331,6/22/2019,x
254,x,GENERAL,28,25,25.5,70.88,0,0,20,0,104,40,2,0,0,26,20,80,20,45,0,HABITAT,0,0,0,490972,4016044,6/22/2019,x
255,x,GENERAL,25,24.5,25,88.56,0,0,40,0,335.28,33,1,0,0,13,35,65,35,50,0,HABITAT,0,0,0,490993,4016397,6/22/2019,x
256,x,GENERAL,26,29,34,8.32,0,0,5,0,274.32,38,205,2.5,0,43,0,100,10,100,0,HABITAT,0,0,0,491323,4016191,6/8/2019,x
257,x,GENERAL,26,31,32,8.32,0,0,10,5,45,50,30,1,0,42,0,100,20,100,0,HABITAT,0,0,0,491271,4016177,6/6/2019,x
258,x,GENERAL,26,29,33,20.08,0,0,90,0,548.64,42,0,0,53,32,80,20,25,15,0,HABITAT,0,0,0,491279,4016228,6/2/2019,x
259,x,GENERAL,25,23,24,0,0,0,95,0,0,70,0,0,1000,21,100,0,0,0,5,HABITAT,0,0,0,492442,4015787,8/22/2019,19:03:00
260,x,GENERAL,25,25,23,75.04,0,0,10,5,1188.72,50,92,2.5,0,27,0,100,10,100,0,HABITAT,0,0,0,492577,4015747,8/22/2019,19:36:00
261,x,GENERAL,22,22,21,97.92,0,95,40,0,914.4,10,130,0,1000,0,100,0,30,0,0,HABITAT,0,0,0,492683,4015759,9/2/2019,8:20:00
262,x,GENERAL,22,22,20.5,93.68,0,80,70,30,1249.68,20,235,3.5,1000,1,100,0,50,0,0,HABITAT,0,0,0,491018,4016248,8/24/2019,9:35:00
263,x,GENERAL,24,24,25,17.68,0,60,66,0,243.84,40,186,0,0,50,0,100,0,100,0,HABITAT,0,0,0,492289,4015898,9/2/2019,0:00:00
